oid,gender,class,Q1,Q2,Q3,Q4,Q5
160,Male,Freshman,3,3,4,5,3
161,Male,Sophomore,3,4,2,4,2
162,Male,Sophomore,2,4,4,4,2
163,Male,Senior,5,4,5,5,3
164,Female,Junior,5,2,4,5,2
165,Female,Freshman,5,3,4,5,4
166,Female,Junior,5,3,5,5,4
167,Female,Senior,4,4,4,5,4
168,Female,Freshman,5,1,3,5,5
169,Female,Junior,4,5,5,4,5
170,Female,Freshman,5,4,5,5,3
171,Male,Sophomore,4,4,4,4,4
172,Female,Junior,4,3,4,3,2
173,Female,Sophomore,4,5,5,5,5
174,Male,Freshman,3,5,4,5,4
175,Female,Freshman,4,2,3,5,2
176,Female,Freshman,3,4,5,5,1
177,Female,Junior,4,5,5,5,5
178,Male,Senior,3,4,1,2,4
179,Male,Senior,3,4,5,5,4
180,Male,Freshman,4,2,3,4,2
181,Male,Junior,5,2,5,5,2
182,Male,Senior,4,4,5,4,2
183,Male,Junior,3,2,4,4,2
184,Male,Sophomore,5,5,5,4,3
185,Female,Freshman,4,2,4,3,4
186,Female,Freshman,4,2,4,4,2
187,Male,Freshman,5,2,4,5,2
188,Male,Senior,4,3,NA,4,2
189,Female,Freshman,4,4,3,3,5
190,Female,Sophomore,4,3,4,4,2
191,Male,Junior,5,5,4,5,3
192,Female,Senior,4,3,5,5,2
193,Male,Sophomore,4,3,4,4,3
194,Male,Freshman,4,3,4,5,3
195,Male,Junior,5,2,5,4,2
196,Male,Senior,5,4,5,5,3
197,Male,Freshman,5,5,5,5,3
198,Female,Freshman,4,3,4,5,2
199,Male,Freshman,5,1,4,NA,1
200,Male,Senior,5,2,5,5,2
201,Female,Freshman,4,2,2,4,2
202,Male,Sophomore,NA,NA,NA,NA,NA
203,Male,Freshman,4,3,3,4,4
204,Female,Freshman,4,2,4,3,1
205,Male,Junior,4,4,5,4,5
206,Female,Freshman,5,4,5,4,1
207,Male,Sophomore,4,3,5,4,2
208,Male,Senior,4,2,4,4,2
209,Male,Junior,2,4,4,4,2
210,Female,Freshman,NA,NA,NA,NA,NA
211,Male,Freshman,NA,NA,NA,NA,NA
212,Female,Sophomore,NA,NA,NA,NA,NA
